
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2026-04-10 16:01:10 /productos/cocina-modular-alba ....................................................... ~ 0.50ms
  2026-04-10 16:01:10 /uploads/products/89af9f03-0ab5-4bdb-86dd-5db69510a3c3.png ........................... ~ 1.00ms
  2026-04-10 16:02:16 /admin/productos/cocina-modular-alba ............................................... ~ 503.75ms
  2026-04-10 16:02:16 /admin/productos/cocina-modular-alba/edit .......................................... ~ 503.47ms
  2026-04-10 16:02:17 /uploads/products/89af9f03-0ab5-4bdb-86dd-5db69510a3c3.png ........................... ~ 0.20ms
  2026-04-10 16:02:19 / .................................................................................... ~ 0.42ms
  2026-04-10 16:02:19 /assets/brand/hero-workshop.svg ...................................................... ~ 0.97ms
  2026-04-10 16:02:19 /assets/brand/product-escritorio.svg ................................................. ~ 2.39ms
  2026-04-10 16:02:19 /assets/brand/product-rack.svg ....................................................... ~ 3.61ms
  2026-04-10 16:02:19 /assets/brand/product-placard.svg .................................................... ~ 4.78ms
  2026-04-10 16:02:19 /uploads/products/89af9f03-0ab5-4bdb-86dd-5db69510a3c3.png ........................... ~ 6.12ms
  2026-04-10 16:02:26 /productos ......................................................................... ~ 505.52ms
  2026-04-10 16:02:27 /assets/brand/product-escritorio.svg ................................................. ~ 0.24ms
  2026-04-10 16:02:27 /assets/brand/product-rack.svg ....................................................... ~ 1.45ms
  2026-04-10 16:02:27 /assets/brand/product-placard.svg .................................................... ~ 2.71ms
  2026-04-10 16:02:27 /uploads/products/89af9f03-0ab5-4bdb-86dd-5db69510a3c3.png ........................... ~ 3.94ms
  2026-04-10 16:02:36 /productos/escritorio-nativo ....................................................... ~ 504.19ms
  2026-04-10 16:02:36 /assets/brand/product-escritorio.svg ................................................. ~ 0.14ms
  2026-04-10 16:02:42 /admin ............................................................................. ~ 504.96ms
  2026-04-10 16:02:53 /admin/productos ................................................................... ~ 506.94ms
  2026-04-10 16:02:54 /assets/brand/product-escritorio.svg ................................................. ~ 0.22ms
  2026-04-10 16:02:54 /assets/brand/product-placard.svg .................................................... ~ 1.33ms
  2026-04-10 16:02:54 /assets/brand/product-rack.svg ....................................................... ~ 2.55ms
  2026-04-10 16:02:54 /uploads/products/89af9f03-0ab5-4bdb-86dd-5db69510a3c3.png ........................... ~ 3.87ms
  2026-04-10 16:02:57 /admin/productos/escritorio-nativo/edit ............................................ ~ 500.73ms
  2026-04-10 16:02:58 /assets/brand/product-escritorio.svg ................................................. ~ 0.27ms
  2026-04-10 16:05:19 /admin/productos/escritorio-nativo ................................................. ~ 505.52ms
  2026-04-10 16:05:20 /admin/productos/escritorio-nativo/edit .............................................. ~ 0.19ms
  2026-04-10 16:05:20 /uploads/products/f14b4aa2-3e77-4b15-a18a-e9df91ff4bdd.png ........................... ~ 0.93ms
  2026-04-10 16:05:56 /admin/productos/escritorio-nativo ................................................... ~ 0.48ms
  2026-04-10 16:05:56 /admin/productos/escritorio-nativo/edit ............................................ ~ 501.61ms
  2026-04-10 16:05:57 /uploads/products/f14b4aa2-3e77-4b15-a18a-e9df91ff4bdd.png ........................... ~ 0.21ms
  2026-04-10 16:06:06 /admin/productos ..................................................................... ~ 0.42ms
  2026-04-10 16:06:06 /uploads/products/f14b4aa2-3e77-4b15-a18a-e9df91ff4bdd.png ........................... ~ 1.07ms
  2026-04-10 16:06:06 /assets/brand/product-placard.svg .................................................... ~ 2.06ms
  2026-04-10 16:06:06 /assets/brand/product-rack.svg ....................................................... ~ 3.33ms
  2026-04-10 16:06:06 /uploads/products/89af9f03-0ab5-4bdb-86dd-5db69510a3c3.png ........................... ~ 4.62ms
  2026-04-10 16:06:13 /admin/productos/placard-andes/edit ................................................ ~ 502.26ms
  2026-04-10 16:06:13 /assets/brand/product-placard.svg .................................................... ~ 0.19ms
  2026-04-10 16:06:22 /admin/productos/placard-andes ..................................................... ~ 503.68ms
  2026-04-10 16:06:23 /admin/productos/placard-andes/edit .................................................. ~ 0.20ms
  2026-04-10 16:06:23 /uploads/products/11af25f2-9b78-4a50-bd6c-d4412a43d242.png ........................... ~ 0.20ms
